,Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
5532,Luke Prestridge,PresLu20,http://www.pro-football-reference.com/players/P/PresLu20.htm,
5533,Uwe von Schamann,vonscuwe01,http://www.pro-football-reference.com/players/V/vonscuwe01.htm,
5534,Jeff Delaney,DelaJe20,http://www.pro-football-reference.com/players/D/DelaJe20.htm,
5535,Greg Fitzpatrick,,http://www.pro-football-reference.com,
5536,Bruce Kimball,KimbBr20,http://www.pro-football-reference.com/players/K/KimbBr20.htm,
5537,Player,,http://www.pro-football-reference.com,
5538,Ron Cassidy,CassRo00,http://www.pro-football-reference.com/players/C/CassRo00.htm,http://www.sports-reference.com/cfb/players/ron-cassidy-1.html
5539,Howard Kurnick,KurnHo20,http://www.pro-football-reference.com/players/K/KurnHo20.htm,
5540,Mike Williams,WillMi02,http://www.pro-football-reference.com/players/W/WillMi02.htm,http://www.sports-reference.com/cfb/players/mike-williams-8.html
5541,Chuck Correal,CorrCh20,http://www.pro-football-reference.com/players/C/CorrCh20.htm,
5542,Steve Heimkreiter,HeimSt20,http://www.pro-football-reference.com/players/H/HeimSt20.htm,
5543,Marshall Harris,HarrMa21,http://www.pro-football-reference.com/players/H/HarrMa21.htm,http://www.sports-reference.com/cfb/players/marshall-harris-1.html
5544,Larry Miller,,http://www.pro-football-reference.com,
5545,D.K. Perry,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/dk-perry-1.html
5546,Roy Simmons,SimmRo20,http://www.pro-football-reference.com/players/S/SimmRo20.htm,
5547,Doug Panfil,,http://www.pro-football-reference.com,
5548,Rick Moss,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/rick-moss-1.html
5549,Kent Perkov,,http://www.pro-football-reference.com,
5550,Willie Beamon,,http://www.pro-football-reference.com,
5551,Jeff Groth,GrotJe00,http://www.pro-football-reference.com/players/G/GrotJe00.htm,http://www.sports-reference.com/cfb/players/jeff-groth-1.html
5552,Nesby Glasgow,GlasNe20,http://www.pro-football-reference.com/players/G/GlasNe20.htm,
5553,Rick Partridge,PartRi20,http://www.pro-football-reference.com/players/P/PartRi20.htm,http://www.sports-reference.com/cfb/players/rick-partridge-1.html
5554,Robert Hawkins,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/robert-hawkins-1.html
5555,Wilbert Haslip,HaslWi20,http://www.pro-football-reference.com/players/H/HaslWi20.htm,http://www.sports-reference.com/cfb/players/wilbert-haslip-1.html
5556,Max Runager,RunaMa20,http://www.pro-football-reference.com/players/R/RunaMa20.htm,
5557,Keith Miller,,http://www.pro-football-reference.com,
5558,John Mohring,MohrJo20,http://www.pro-football-reference.com/players/M/MohrJo20.htm,
5559,Carter Hartwig,HartCa20,http://www.pro-football-reference.com/players/H/HartCa20.htm,
5560,Glenn Blackwood,BlacGl20,http://www.pro-football-reference.com/players/B/BlacGl20.htm,
5561,Randy Love,LoveRa00,http://www.pro-football-reference.com/players/L/LoveRa00.htm,http://www.sports-reference.com/cfb/players/randy-love-1.html
5562,Gene Sanders,SandGe20,http://www.pro-football-reference.com/players/S/SandGe20.htm,
5563,Robert Brewer,,http://www.pro-football-reference.com,
5564,Bruce Thornton,ThorBr20,http://www.pro-football-reference.com/players/T/ThorBr20.htm,
5565,Tom Graves,GravTo20,http://www.pro-football-reference.com/players/G/GravTo20.htm,
5566,Player,,http://www.pro-football-reference.com,
5567,Steve Hamilton,,http://www.pro-football-reference.com,
5568,James Folston,,http://www.pro-football-reference.com,
5569,Scott Burk,BurkSc20,http://www.pro-football-reference.com/players/B/BurkSc20.htm,http://www.sports-reference.com/cfb/players/scott-burk-1.html
5570,Russ Henderson,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/russ-henderson-1.html
5571,Henry Vereen,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/henry-vereen-1.html
5572,Kevin Baker,,http://www.pro-football-reference.com,
5573,Tom Rusk,,http://www.pro-football-reference.com,
5574,Bob Rozier,RoziBo20,http://www.pro-football-reference.com/players/R/RoziBo20.htm,
5575,Joe Robinson,,http://www.pro-football-reference.com,
5576,Jerome Heavens,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/jerome-heavens-1.html
5577,Jeff Komlo,KomlJe00,http://www.pro-football-reference.com/players/K/KomlJe00.htm,
5578,Gordy Sprattler,,http://www.pro-football-reference.com,
5579,Kris Haines,HainKr20,http://www.pro-football-reference.com/players/H/HainKr20.htm,http://www.sports-reference.com/cfb/players/kris-haines-1.html
5580,Carl McGee,McGeCa20,http://www.pro-football-reference.com/players/M/McGeCa20.htm,
5581,John Thompson,ThomJo26,http://www.pro-football-reference.com/players/T/ThomJo26.htm,http://www.sports-reference.com/cfb/players/john-thompson-4.html
5582,Billy Diggs,,http://www.pro-football-reference.com,
5583,Alvin Garrett,GarrAl00,http://www.pro-football-reference.com/players/G/GarrAl00.htm,
5584,Jim Rourke,RourJi20,http://www.pro-football-reference.com/players/R/RourJi20.htm,
5585,Dave Parkin,ParkDa22,http://www.pro-football-reference.com/players/P/ParkDa22.htm,
5586,Ezra Tate,,http://www.pro-football-reference.com,
5587,Curtis Weathers,WeatCu20,http://www.pro-football-reference.com/players/W/WeatCu20.htm,http://www.sports-reference.com/cfb/players/curtis-weathers-1.html
5588,Charlie Taylor,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/charlie-taylor-1.html
5589,Rich Ellender,ElleRi20,http://www.pro-football-reference.com/players/E/ElleRi20.htm,http://www.sports-reference.com/cfb/players/richard-ellender-1.html
